PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,EL-332,CS-318,CS-306,CS-312,CS-317,CGPA
3.7,3.4,3.7,3.4,3.0,4.0,3.7,4.0,3.7,4.0,2.0,4.0,2.0,4.0,3.7,4.0,3.4,3.7,3.4,3.7,3.4,3.7,3.0,2.0,3.7,3.7,3.7,3.4,3.7,3.7,3.7,2.7,3.7,3.49
3.7,3.0,3.0,1.7,3.7,4.0,2.7,3.4,2.7,3.0,2.0,3.7,2.0,3.7,3.7,3.7,3.0,4.0,3.7,3.7,3.7,3.4,3.7,1.0,2.0,1.7,3.0,1.4,3.0,2.4,3.7,2.4,1.4,2.805
3.7,2.4,3.7,2.4,2.7,4.0,3.0,3.7,3.4,3.7,3.4,3.7,2.4,3.7,3.7,3.7,3.4,4.0,3.0,4.0,3.7,4.0,3.7,2.4,3.7,3.7,3.7,2.7,3.7,3.4,3.7,2.7,3.0,3.458
4.0,2.7,3.4,1.4,1.4,3.7,1.0,2.7,3.7,4.0,1.7,4.0,2.0,2.4,1.7,1.7,1.0,1.7,1.4,1.7,1.0,1.0,1.4,1.7,2.4,2.7,2.4,1.0,2.0,1.4,2.0,2.0,2.4,2.34
3.7,2.7,3.0,2.7,1.4,3.7,2.0,3.7,3.0,3.7,2.4,3.7,3.0,4.0,4.0,4.0,2.7,3.7,2.0,4.0,3.0,3.4,3.4,2.0,3.4,3.7,3.7,2.7,3.4,3.4,3.4,2.4,3.7,3.252
2.7,1.7,3.0,1.0,2.7,2.4,1.7,2.7,2.0,2.4,3.0,2.7,2.4,2.7,3.0,3.0,3.4,3.4,2.4,3.7,1.0,1.4,1.7,1.4,2.7,3.4,3.0,2.0,2.4,2.7,3.0,2.0,2.7,2.683
3.7,2.4,3.4,3.0,2.4,3.7,3.0,3.7,3.7,3.7,2.7,3.7,3.4,3.7,3.7,3.7,2.0,3.7,3.7,4.0,2.4,2.4,3.0,2.7,3.7,3.7,3.7,3.0,3.4,3.7,3.7,3.0,3.7,3.378
3.7,2.7,4.0,2.4,2.7,3.7,2.4,3.0,3.7,2.7,2.4,4.0,3.7,3.4,2.7,3.7,2.4,3.7,2.7,3.7,2.7,2.7,3.0,2.7,3.7,3.7,3.7,2.0,3.7,3.7,3.0,2.0,3.7,3.295
3.0,2.0,3.4,3.0,4.0,3.7,2.7,3.7,3.7,2.7,1.7,4.0,3.7,4.0,3.7,3.7,2.7,3.7,3.0,3.7,3.0,2.7,3.7,1.4,3.7,3.7,3.0,2.0,4.0,3.4,3.4,2.0,3.4,3.193
4.0,2.7,4.0,2.7,4.0,3.7,4.0,4.0,3.0,4.0,2.7,3.7,3.7,4.0,4.0,4.0,4.0,4.0,3.4,4.0,3.7,4.0,4.0,2.7,3.7,3.7,3.7,3.7,4.0,3.0,3.7,3.7,3.7,3.647
1.4,2.7,1.7,1.0,1.0,3.4,3.7,2.7,3.0,2.0,2.7,3.7,1.7,3.7,2.7,3.4,2.7,3.4,3.4,3.4,2.7,2.7,2.4,2.0,3.4,3.0,3.4,1.7,2.7,3.0,2.7,2.4,2.4,2.815
2.0,2.0,1.7,2.0,1.0,3.4,1.0,1.7,3.0,1.7,2.4,4.0,1.0,2.4,1.0,2.7,1.0,3.7,1.4,1.7,2.7,1.4,4.0,2.4,1.7,1.0,3.7,1.4,1.4,1.7,2.4,1.4,2.0,2.171
4.0,3.4,4.0,3.7,4.0,3.7,3.4,4.0,4.0,3.7,2.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,4.0,4.0,2.7,2.0,4.0,3.7,3.7,3.4,4.0,3.7,3.7,3.7,4.0,3.761
2.7,2.7,3.7,2.4,2.7,3.0,1.4,3.7,2.7,2.7,1.7,4.0,1.4,3.7,1.4,2.7,1.7,3.4,1.4,3.0,1.4,1.7,2.7,1.4,3.7,2.0,3.7,1.4,2.7,2.0,2.7,1.4,2.4,2.763
3.7,2.0,3.7,1.7,2.7,3.7,1.7,3.7,2.7,4.0,1.4,4.0,2.0,3.7,2.7,3.4,1.4,3.0,2.7,3.4,2.7,3.0,2.7,2.0,2.0,2.7,3.0,1.7,2.7,2.7,3.0,2.7,3.4,2.938
2.4,1.4,3.0,1.0,2.4,1.0,1.4,2.7,2.4,3.7,1.0,3.7,1.4,2.7,2.7,2.4,1.0,2.4,1.4,3.0,1.0,1.7,1.7,1.7,1.4,1.7,2.0,1.7,1.7,1.7,1.7,1.4,1.4,2.06
1.0,1.0,1.4,2.7,0.0,1.0,1.0,1.0,1.4,1.4,1.7,3.0,0.0,1.4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.4,0.0,1.4,1.4,0.0,1.0,0.0,1.0,1.0,1.0,1.4,1.0,1.261
2.0,2.0,2.7,2.4,1.7,2.7,1.4,2.4,2.4,1.7,3.7,3.0,1.4,3.7,2.4,1.7,1.4,1.7,1.7,3.0,1.0,1.0,3.0,1.0,3.0,3.7,3.4,1.4,3.0,3.0,1.7,1.4,1.7,2.378
2.7,2.4,3.0,2.0,3.7,3.7,3.4,3.7,3.7,2.0,3.4,3.7,2.7,3.7,3.4,2.4,1.4,2.4,2.7,3.7,2.7,2.7,3.7,1.7,3.4,1.7,3.0,1.7,2.7,3.4,2.0,2.0,2.7,2.861
1.4,3.0,1.4,1.7,1.0,3.0,1.0,1.7,2.7,1.0,3.4,3.7,1.0,2.4,1.0,2.4,2.7,2.7,2.0,1.0,1.7,1.4,3.0,3.0,2.7,3.7,2.7,1.4,2.4,2.4,2.4,2.0,1.7,2.363
1.7,2.7,1.0,2.4,1.0,1.0,1.7,2.4,2.0,2.0,1.4,4.0,1.4,3.0,1.0,2.0,1.0,2.4,1.4,2.4,1.7,1.0,1.7,1.4,3.7,1.0,3.7,1.4,1.7,2.0,2.4,1.4,2.4,2.084
0.0,1.7,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.4,1.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.38
1.0,1.4,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.4,1.4,2.0,2.7,1.4,1.0,2.0,1.4,2.4,1.0,1.0,1.7,1.4,1.0,2.7,1.0,2.0,2.0,1.7,1.4,1.4,1.7,1.89
4.0,3.4,4.0,3.4,3.7,4.0,3.7,4.0,3.7,4.0,3.7,4.0,4.0,4.0,3.4,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,3.7,3.7,4.0,3.4,4.0,4.0,4.0,3.7,4.0,3.861
1.7,1.0,1.4,1.0,1.4,1.4,1.4,1.0,2.0,3.0,1.4,3.4,1.4,2.0,1.4,1.7,3.0,1.4,1.4,3.4,1.0,1.0,1.4,1.0,2.7,2.4,1.4,1.4,1.4,1.0,1.7,1.0,1.7,1.805
4.0,2.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.925
4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,3.919
4.0,2.7,4.0,3.7,2.7,3.7,2.7,3.7,3.7,3.7,2.0,4.0,3.7,3.4,3.7,3.7,3.0,3.7,2.4,3.7,3.0,3.0,3.0,2.7,3.7,2.4,3.7,1.7,4.0,3.4,3.4,2.0,3.4,3.258
4.0,3.4,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.963
